Colony,Time,Treatment,Stim,cAMP_pmol_mL,Protein_ug_mL,cAMP_nmol_mg,cAMP_nmol_ng
M3,1,DMSO,No,1.579,35.17956288,0.044884014,44.8840142
M3,2,DMSO,No,1.168,41.96593772,0.027832096,27.83209582
M3,2,DMSO,No,1.653,41.96593772,0.039389088,39.38908767
M3,2,DMSO,No,2.241,35.17956288,0.063701758,63.70175797
M3,5,DMSO,No,0.8035,44.86899248,0.01790769,17.90768982
M3,5,DMSO,No,0.9281,42.93398208,0.021616909,21.61690938
M3,5,DMSO,No,1.852,35.17956288,0.052644202,52.64420159
M3,0,KH7,No,1.866,46.80256512,0.03986961,39.86960961
M3,0,KH7,No,2.031,42.93398208,0.047305186,47.30518581
M3,0,KH7,No,1.316,47.76881228,0.027549356,27.54935568
M3,0.1,KH7,No,1.73,45.83595852,0.037743293,37.74329273
M3,0.1,KH7,No,2.203,44.86899248,0.049098495,49.09849493
M3,0.1,KH7,No,1.838,41.96593772,0.043797425,43.79742477
M3,0.5,KH7,No,1.73,44.86899248,0.038556694,38.55669371
M3,0.5,KH7,No,1.894,39.059648,0.04848994,48.48994031
M3,0.5,KH7,No,1.155,44.86899248,0.025741608,25.74160765
M3,1,KH7,No,1.567,40.02877068,0.039146843,39.14684297
M3,1,KH7,No,2.149,38.09016588,0.056418762,56.41876191
M3,1,KH7,No,0.8419,38.09016588,0.022102818,22.10281789
M3,2,KH7,No,1.938,42.93398208,0.045139069,45.13906948
M3,2,KH7,No,1.679,45.83595852,0.036630629,36.63062919
M3,2,KH7,No,1.691,33.23736368,0.050876478,50.87647794
M3,5,KH7,No,1.756,40.99753392,0.042831845,42.83184456
M3,5,KH7,No,1.77,40.02877068,0.044218195,44.21819531
M3,5,KH7,No,1.435,39.059648,0.036738682,36.73868234
